btc_sma10_1,btc_wma_10_1,btc_mom_1,btc_stcK_1,btc_stcD_1,btc_rsi_1,btc_macd_1,btc_lw_1,btc_ao_1,btc_cci_1,btc_open_0,class_y0
81.502,86.796,26.25,92.7385892116,86.4053355514,85.7555997227,14.7760780398,7.2614107884,1.0024813896,78.9629707756,95.5,1
84.982,91.0138181818,40.8,96.9230769231,91.6195547528,88.0615251462,15.0433029571,3.0769230769,0.80859375,87.5236161303,103.73,1
90.192,96.6534545455,45.78,100,96.5538887116,90.2971436782,15.4111274481,0,0.7106918239,99.2098169697,116,1
96.548,104.5785454545,58.67,77.261816839,91.3949645874,92.6343535724,15.948618409,22.738183161,0.8760586656,138.3995061394,133.87,1
102.537,111.5698181818,55.19,78.3881093058,85.2166420483,92.7631665009,17.1364636608,21.6118906942,0.5232258065,121.9139406331,134.67,1
108.736,118.7085454545,52.5,61.1767060236,72.2755440561,93.4506761782,18.4022132118,38.8232939764,0.8915100809,148.7532751861,141.8,0
113.906,124.5747272727,52.48,56.8208430913,65.4618861402,92.339245667,19.5957330863,43.1791569087,0.7137901127,106.635632057,141,1
121.551,133.8590909091,74.97,73.2084130019,63.7353207056,94.4638230716,21.0191792258,26.7915869981,0.9856850716,117.9342524653,164.97,1
131.111,145.5043636364,93.49,88.5441527446,72.857802946,95.5958961266,22.7933519348,11.4558472554,0.9175,145.286106286,185.6,1
144.8,163.3023636364,132.85,95.9818576722,85.9114744729,96.990243622,25.3348191907,4.0181423278,0.7003523608,163.4260836995,228.94,0
151.385,166.4296363636,57.3,48.589838386,77.7052829343,63.5434740149,27.0972948438,51.410161614,0.1602408366,77.0432663943,162,0
149.255,154.0687272727,-32.6,15.9549058947,53.5088673176,44.2604735622,26.9633444556,84.0450941053,0.1317829457,-21.3445350295,81.02,1
148.645,146.9132727273,-23.88,30.2789959877,31.6079134228,49.7924543121,26.009109972,69.7210040123,0.4268656716,-48.9296218419,109.9,0
144.431,136.5487272727,-43.36,21.7598208454,22.6645742426,46.3769184004,24.2401521992,78.2401791546,0.2676470588,-35.0192203138,90.44,0
140.042,126.854,-50.69,21.512550154,24.517122329,46.2776921011,21.9895692916,78.487449846,0.4626038781,-47.7978102921,91.79,0
133.262,114.8463636364,-67,13.5299057572,18.9340922522,43.0736692905,19.2319936215,86.4700942428,0.2183417085,-66.8919143686,73.99,0
125.971,102.9969090909,-96.88,10.7726042736,15.2716867283,41.9921987903,16.1630771813,89.2273957264,0.248447205,-80.4434094268,67.85,1
118.472,96.4530909091,-95.62,20.9853503779,15.0959534696,47.2727680674,13.372299292,79.0146496221,0.8032587549,-54.3083302486,89.98,1
110.842,94.7854545455,-119.7,29.9990669031,20.5856738515,51.471669994,11.1799115875,70.0009330969,0.6576911173,-31.856759879,109.3,1
99.713,96.0341818182,-44.29,33.9227395726,28.3023856179,53.2181038277,9.5862072027,66.0772604274,0.7686567164,-4.5727802796,118.11,1
