btc_obv_1,btc_sma5_1,btc_bias6_1,btc_psy12_1,btc_asy5_1,btc_asy4_1,btc_asy3_1,btc_asy2_1,btc_asy1_1,btc_open_0,btc_low_7,btc_open_30,btc_high_30,btc_low_30,btc_close_30,sp500_close_30,google_trend_2,google_trend_3,wikipedia_trend_2,class_y0
47787.21406113,91.216,89.315,75,3.7252132429,1.8476996038,2.7560318951,3.3049900852,4.2925957035,95.5,69.25,65.8697634409,72.1244086022,63.0103870968,68.4869032258,1553.7378494624,10,7,29450,1
54327.91932883,94.296,93.4633333333,75,3.1819525999,4.1967650673,5.0429815849,6.4057801438,8.5189645842,103.73,74.3,68.3946236559,75.041655914,65.5783225806,71.4698494624,1554.1916344086,10,7,22995,1
60768.95833152,99.792,97.9133333333,75,5.4072335185,6.3445130194,7.6868892035,9.3840359536,10.249107323,116,78.75,71.3193763441,78.4175483871,68.4299139785,75.0301290323,1555.1088602151,10,7,36179,1
75772.90683512,108.548,105.4566666667,83.3333333333,7.9277397872,9.3303286173,11.0095729218,12.2548770907,14.2606468584,133.87,80,74.8864086022,84.3539569892,71.7778709677,79.5618709677,1554.8906021505,10,7,39264,1
83038.17983624,117.126,112.9566666667,91.6666666667,7.6458252688,8.4841326601,8.4725220187,7.5842293666,0.9078118748,134.67,84,79.4307096774,89.486688172,75.5435483871,83.9631612903,1555.010516129,10,7,65600,1
90602.45755783,126.256,121.2383333333,91.6666666667,7.7701628413,7.5829624055,6.6942474331,2.9110477204,4.914283566,141.8,89.31,83.8173548387,97.6108172043,79.6538064516,88.6004731183,1554.5444086022,10,7,65397,0
87098.1836042,133.516,128.7133333333,83.3333333333,5.95321545,4.8792424818,1.7521076896,2.174255597,-0.565772372,141,92.12,88.461827957,102.1867096774,84.3143225806,92.9722365591,1554.0632473118,16,10,43584,1
93835.39605105,143.31,138.7583333333,83.3333333333,7.0434689616,5.2391744874,6.682962025,7.5673012545,15.700374881,164.97,93.7,92.8407311828,107.5111397849,88.8866666667,98.6768602151,1553.5750967742,16,10,29916,1
107246.45928695,153.674,150.3583333333,83.3333333333,6.5479432132,7.9579760478,8.9725402085,13.7416964987,11.7830181164,185.6,100.1,98.5524946237,114.698516129,94.6211827957,105.4517849462,1553.949311828,16,10,33272,1
118458.24807175,172.474,166.2283333333,91.6666666667,10.5689445023,11.9826097364,16.1654037725,16.3979182183,21.0128183202,228.94,110,105.3345806452,123.9648172043,100.2486021505,114.7264946237,1554.5606236559,16,10,60250,0
97568.77728145,176.514,170.7283333333,83.3333333333,2.6635744227,3.4709111214,-0.6055767985,-6.799874256,-34.6125668322,162,119,114.6120645161,134.3778064516,99.5329247312,119.2835483871,1556.4004301075,16,10,75697,0
60362.89235875,164.994,160.995,75,-10.5022316203,-17.0528832456,-26.6648503662,-50.5036847095,-66.3948025868,81.02,127.09,119.1773548387,139.1538924731,97.4744516129,118.5250107527,1558.5052903226,16,10,104368,1
89458.80054525,153.98,155.8116666667,75,-8.1238555556,-13.1005739736,-24.4717047382,-19.4012736911,27.5922552045,109.9,138.5,118.2732903226,139.3262150538,95.0632903226,119.3932258065,1560.1633763441,16,10,142760,0
72627.95740275,135.188,143.59,66.6666666667,-14.1145192553,-22.8963536492,-18.9909492549,4.710977411,-18.1703003824,90.44,140.65,119.1534623656,139.8105591398,95.2310537634,118.9480860215,1561.7655483871,26,16,122717,0
66850.38407151,107.61,127.8416666667,58.3333333333,-18.4330887166,-14.3882191877,2.947308612,-9.3751646842,-0.580028986,91.79,162,118.6428602151,138.9156989247,95.1192473118,118.3726451613,1563.3252473118,26,16,58162,0
47272.25535551,90.01,102.0083333333,50,-15.6706248406,-2.989580404,-13.1835256068,-10.6901382191,-20.8002474522,73.99,164.34,118.125827957,137.8952473118,93.5166021505,116.5982580645,1562.347483871,26,16,48691,0
11565.66906161,86.948,86.3566666667,41.6666666667,-4.0563589974,-11.9685125479,-9.9012499363,-14.5618604115,-8.3234733709,67.85,70,116.3639354839,135.6128602151,91.2270322581,114.3839569892,1563.0279569893,26,16,63770,1
42420.09318111,82.964,87.4533333333,41.6666666667,-3.9996687599,-0.4570108543,-0.4160048104,9.7761165104,27.8757063918,89.98,50,114.1472258065,134.4892688172,89.5888602151,113.5370752688,1562.2155913979,26,16,48725,1
58947.55289781,86.496,87.3533333333,50,3.5245707519,4.5507206864,13.0010433993,23.6633017844,19.4508971769,109.3,45,113.3139354839,133.9103655914,89.1433333333,113.8514193548,1560.6306451613,26,16,40736,1
84446.50494621,91.816,91.6983333333,50,5.123128094,11.6039719805,18.2464537643,13.4318274506,7.4127577242,118.11,85,113.6408387097,135.0903225806,89.991311828,114.6010537634,1559.9344086022,26,16,37344,1
91921.31919455,102.326,97.605,50,10.7314478757,15.4951781874,11.3683354526,7.3270545904,7.2413514567,126.55,81.94,114.4289462366,135.4433763441,91.6714623656,115.8059354839,1559.2413978495,52,26,27942,0
74733.22842345,112.47,105.0733333333,41.6666666667,11.1339043795,6.9484538764,2.7809727763,0.4650803023,-6.3111908521,118.91,60,115.6476344086,135.6317419355,92.388688172,116.3946451613,1558.5301075269,52,26,16796,1
81408.77788168,119.222,114.3483333333,50,6.3719033338,3.102154873,1.6652872559,-1.1227448444,4.0657011633,123.73,49.8,116.2536774194,135.4454193548,93.9962365591,117.1962365591,1558.3768817204,52,26,17875,1
94800.64843918,124.82,122.2333333333,58.3333333333,4.5599816345,3.8467876121,2.7152663306,7.228494922,10.3912886807,137.3,60,117.0629462366,136.0392903226,95.7923655914,118.7433333333,1559.3440860215,52,26,20776,1
116033.49878398,131.078,128.85,58.3333333333,4.7144466704,4.0827204739,7.5473575825,9.2881857921,8.1850829036,150,78.92,118.6200430108,137.9149462366,98.3584731183,120.9016774194,1560.297311828,52,26,20920,0
99467.40708938,134.148,132.8816666667,58.3333333333,2.2897019435,4.4399251424,4.5646664688,1.6513553628,-4.8823721779,141.9,100,120.8522365591,140.2151182796,100.0232258065,122.4430537634,1561.6924731183,52,26,20032,0
88778.48600168,137.846,134.6733333333,58.3333333333,2.8928546861,2.5996430668,0.0024278621,-4.0888996586,-3.2954271392,137.3,114.27,122.3990537634,140.573827957,101.8073333333,123.5541290323,1562.6962365591,52,26,17914,0
82092.41091404,138.858,136.3383333333,58.3333333333,0.8015644713,-1.595866581,-4.8561830758,-4.8430885248,-6.3907499104,128.8,101,123.5155698925,141.2118064516,103.4290107527,124.0135913979,1563.6575268817,27,52,17282,1
87228.93641464,138.456,138.2616666667,66.6666666667,-0.2949754464,-2.4149900339,-1.5925293192,-0.7410804092,4.908589092,135.31,116,123.980688172,141.7110537634,104.6819569892,124.8044946237,1564.5892473118,27,52,14008,1
97714.39854964,137.318,139.265,66.6666666667,-0.7787237975,0.2471882976,1.4280601099,5.33746512,5.766341148,143.32,121.12,124.7801290323,142.317655914,106.0083010753,126.0160860215,1566.2494623656,27,52,17363,0
89249.10136828,136.914,137.745,58.3333333333,-0.2867534394,0.4654149855,2.7508032842,1.6719103802,-2.4225203875,139.87,134.98,125.9999569892,142.3727526882,107.9007741935,126.8962795699,1568.1129032258,27,52,19157,0
68144.19923838,132.804,133.5533333333,50,-3.2426683245,-2.455647928,-4.9103936014,-10.248760976,-18.0750015646,116.75,123.2,126.8870967742,142.0202365591,107.8330967742,126.190172043,1568.9451612903,27,52,19889,0
46419.06564038,128.406,128.4716666667,41.6666666667,-3.7441851714,-5.9073787372,-9.7986186989,-13.4866678547,-8.8983341447,107.02,126.68,126.1872043011,140.7524516129,106.9742365591,124.8168602151,1570.6994623656,27,52,23858,0
19555.50119428,120.966,123.3516666667,41.6666666667,-6.431264648,-9.4806660971,-11.8333813336,-8.7125712181,-8.5268082914,98.08,125.76,124.8315698925,138.2192043011,105.3880430108,122.9000860215,1573.4424731183,27,52,26564,1
35465.62927098,114.828,119.575,41.6666666667,-4.8198159249,-5.4191398092,-1.2005192241,2.6483882362,13.8235847639,112.89,121.57,122.9184731183,136.2872688172,104.6695913979,121.9981505376,1576.0564516129,17,27,24259,1
44499.57104881,110.166,115.1183333333,41.6666666667,-3.6458592253,-0.0385736404,2.914679861,8.6354239372,3.4472631105,116.9,123.96,122.037827957,134.630516129,104.8113548387,121.3991827957,1578.5543010753,17,27,13942,0
27248.01543441,109.358,110.59,33.3333333333,-0.7043349659,1.3441648288,4.6344892022,0.0399414214,-3.3673802678,112.67,133.89,121.4627311828,133.4846021505,104.9006236559,120.6054408602,1581.2403225807,17,27,13136,0
12306.46279931,109.996,109.465,33.3333333333,0.5885762138,2.8674223401,-0.7846318011,-2.900579257,-2.4337782462,110.92,104.9,120.6682795699,131.6837634409,104.66,119.6976989247,1584.2327956989,17,27,17691,1
20568.1034418,113.012,110.5233333333,41.6666666667,2.8603854849,0.1195856652,-0.9896401499,0.199229909,2.8322380641,113.16,93.01,119.8218494624,130.2105591398,105.1958924731,119.1120430108,1587.597311828,17,27,16650,0
13842.39501487,112.88,112.8366666667,41.6666666667,-0.1175531036,-1.0087571571,-0.2225494536,0.8830649427,-1.0661081786,111.96,81.5,119.236172043,128.7621075269,105.8184301075,118.6047526882,1590.538172043,17,27,16577,1
24322.53013367,113.146,113.7166666667,41.6666666667,0.2268971322,1.1254664822,2.3118813917,2.0517030555,5.1695142896,117.9,94,118.7288602151,127.9636344086,106.5728817204,118.7323870968,1593.6698924731,17,27,14937,0
19630.4251668,113.612,113.4616666667,33.3333333333,0.4092349144,1.1199882045,0.5492382513,1.3569114663,-2.4556913571,115.58,106.5,118.856344086,127.3693763441,107.4849677419,118.770344086,1596.7010752688,15,17,13705,0
16263.72213213,114.512,113.76,33.3333333333,0.801889144,0.294301914,0.7477719449,-1.4630992275,-0.4705070978,115.05,105,118.9289892473,126.8639354839,108.2649032258,118.7054193548,1599.6424731183,15,17,10593,1
19675.76336655,115.078,114.7583333333,41.6666666667,0.4940246812,0.8840578962,-0.5444275683,0.4112043261,1.2929157499,115.98,98.77,118.8931182796,126.3213763441,108.9340860215,118.7267311828,1602.5623655914,15,17,10080,0
7555.75552755,114.086,113.7316666667,41.6666666667,-0.9062566037,-2.425199327,-2.415035317,-3.3872994266,-8.0675146032,107,109.41,118.906172043,125.8091827957,108.893483871,118.1156774194,1606.4903225807,15,17,17441,1
18470.27382235,112.296,113.23,50,-1.5789549231,-1.3597708146,-1.6561920535,-3.1307459552,1.8060226929,108.96,109,118.2849462366,124.942344086,108.6916774194,117.5962580645,1610.6795698925,15,17,17382,1
25986.03548492,111.958,112.4716666667,50,-0.2959903404,-0.252361151,-0.7674534513,2.8825771246,3.9591315563,113.36,109.2,117.7574623656,124.0696989247,108.8278924731,117.2855483871,1614.2274193548,15,17,17490,1
35707.39638013,112.404,112.7533333333,50,0.3857750534,0.1589898793,2.9011580401,3.4487257137,2.9383198711,117.51,112.95,117.4386451613,123.4399569892,109.1265806452,117.0955698925,1618.5725806452,15,17,18365,1
39613.62728197,112.904,113.4183333333,58.3333333333,0.4264917667,2.5499933592,2.7979835813,2.2174095938,1.4964993164,118.49,113,117.2896989247,122.7987311828,109.5161935484,116.9616129032,1622.6661290323,12,15,15581,0
34813.26585005,114.78,113.4833333333,58.3333333333,1.6806372953,1.6492909459,0.8793440758,-0.1501438218,-1.79678696,117.27,113.55,117.1447741935,122.1695053763,109.7041505376,116.6717634409,1626.4822580645,12,15,11962,1
39354.57573599,116.3,115.075,58.3333333333,1.3486260818,0.6959997132,-0.0514403394,-0.8254101673,0.1459666253,117.81,103.5,116.9013763441,121.5833333333,109.8572688172,116.3957419355,1630.1467741936,12,15,18265,1
43010.83045919,117.13,116.5,66.6666666667,0.7191591326,0.164368948,-0.2796745081,0.4788817178,0.8117968102,117.25,101.72,116.6946236559,120.9959784946,110.1960645161,116.202516129,1633.6241935484,12,15,18133,1
50286.43517097,117.606,117.46,66.6666666667,0.4036772046,0.1304716766,0.7728912221,1.0863535206,1.3609102309,118.45,108.35,116.4705376344,120.4904301075,110.5071182796,116.1159784946,1636.2026881721,12,15,15029,1
60499.23063217,118.676,118.645,75,0.8832368203,1.5532427653,2.022334812,2.6276038129,3.8942973949,123.84,112.82,116.3274408602,120.2819354839,110.9037634409,116.3445591398,1638.2123655914,12,15,14442,1
73692.81266647,121.14,120.3466666667,83.3333333333,2.0124683075,2.479093728,3.0348593673,3.8718339355,3.8493704761,128.65,115.99,116.5434408602,120.495311828,111.5747311828,116.9156129032,1640.0897849462,12,15,15271,1
78839.51786522,123.624,122.445,83.3333333333,2.0251890739,2.3285371398,2.6510794428,2.0294704667,0.2095704574,128.98,114.1,117.0987096774,120.7619354839,112.4989462366,117.5477419355,1641.8026881721,11,12,14905,1
82755.58254037,126.024,124.6033333333,91.6666666667,1.9448509511,2.0908361312,1.4896823766,0.3098383269,0.4101061963,130.27,114.03,117.7211827957,121.1518924731,113.5422365591,118.2418709677,1643.3677419355,11,12,9522,0
75341.77073471,127.452,126.0616666667,83.3333333333,1.1643326453,0.4818414579,-0.6406682149,-1.065787551,-2.5416812984,126.2,116.9,118.4546666667,121.588172043,114.0898494624,118.7430967742,1644.8994623656,11,12,10062,0
69269.01293003,127.868,127.1966666667,75,0.3331274966,-0.5459332483,-0.7977678169,-1.4017048235,-0.2617283486,125.99,117,118.940688172,121.8380215054,114.8213978495,119.228516129,1646.4001075269,11,12,10866,1
79215.85216728,128.198,128.2816666667,75,0.2547805155,0.2660830301,0.218075308,1.5979536112,3.457635571,130.01,118.36,119.4187526882,122.3454408602,115.7130967742,120.0198709677,1647.249139785,11,12,18578,0
69783.49603557,127.766,127.9666666667,66.6666666667,-0.3377983186,-0.5247744473,0.1475278364,0.3521559289,-2.7533237133,126.78,122.52,120.1762150538,122.9372688172,116.5607741935,120.6107096774,1648.3911827957,11,12,19680,1
75417.44453171,127.448,127.79,75,-0.2470797906,0.3265705864,0.5226702314,-0.9448124384,0.8636988364,127.76,126.03,120.7539139785,123.4862795699,117.4381075269,121.3006236559,1647.8208602151,11,12,16423,1
78823.92970507,127.952,127.6683333333,75,0.3952759826,0.5595270654,-0.4065091031,0.7668982019,0.6700975674,128.77,127.97,121.4229892473,123.9925591398,118.4030537634,122.0220215054,1647.1392473118,10,11,17103,0
63685.80069307,127.368,127.1266666667,66.6666666667,-0.4692485859,-1.4509696252,-1.0168515958,-1.9571268119,-4.5843511913,123.35,120.33,122.1335483871,124.491483871,118.6450322581,122.3239354839,1646.3786021505,10,11,12950,1
72536.09292318,125.942,126.6766666667,66.6666666667,-1.1250352959,-0.7179631915,-1.2451838675,-2.202824585,0.1787020214,123.22,123,122.447655914,124.7011612903,118.8093333333,122.5864516129,1646.0416129032,10,11,11229,0
64560.2342052,124.694,125.0466666667,58.3333333333,-1.0091881224,-1.4774098621,-2.1932456719,-0.9976929122,-2.1740878457,120.58,125.53,122.6990322581,124.8035913979,118.8803010753,122.6552043011,1645.3223655914,10,11,13116,1
69293.26115416,123.352,124.1116666667,58.3333333333,-1.0776963595,-1.5146448413,-0.4914093912,-0.8264650976,0.5211576506,120.98,124.9,122.7578709677,124.8361290323,119.1449892473,122.756,1643.0541935484,10,11,10858,0
64356.28298354,121.354,122.59,50,-1.615096494,-0.8727828196,-1.2232777666,-0.7478727271,-2.0169031047,118.78,125.06,122.8346021505,124.780344086,119.2994623656,122.6824086022,1641.7494623656,10,11,11774,0
46094.80688774,118.79,119.4916666667,41.6666666667,-2.2013792666,-2.7963995885,-3.0038368362,-4.7663340795,-7.5157650543,110.17,127.09,122.7515268817,124.5665376344,118.6742365591,122.0350967742,1641.4560215054,10,11,11790,0
41039.79977377,115.968,117.1766666667,41.6666666667,-2.4322965584,-2.4968487366,-3.5028508656,-4.245824746,-0.9758844378,109.11,117.02,122.0960645161,123.9143010753,118.1470967742,121.3251612903,1641.1416129032,10,10,11206,0
10305.30088797,111.888,113.335,41.6666666667,-3.7072350901,-4.7643332753,-5.6801433321,-4.762332471,-8.5487805043,100.17,117,121.3786451613,123.1065591398,116.431483871,120.0445806452,1640.7970967742,10,10,9055,1
23841.85929547,108.492,110.61,41.6666666667,-3.0187604831,-3.2692248277,-1.8537114188,-2.2926249093,3.9635306857,104.21,116.32,120.0905806452,122.1847956989,114.9571612903,119.0634193548,1640.6590322581,10,10,10523,1
29076.21263584,106.208,108.3033333333,50,-2.0217073873,-0.6481929705,-0.5389624815,3.46594653,2.9683623742,107.35,119.65,119.1012903226,121.2922795699,114.1623010753,118.3081075269,1639.526344086,10,10,17562,0
21463.59208329,105.484,106.2666666667,41.6666666667,-0.668143705,-0.5912085219,2.0613154723,1.1102078656,-0.7479466431,106.1,118.43,118.3390322581,120.6261290323,113.5206236559,117.5165376344,1637.3022580645,10,10,20661,0
13416.31158228,104.062,104.9033333333,33.3333333333,-1.3476746877,0.4526017665,-0.7177078732,-2.560742997,-4.3735393508,101.86,107,117.512688172,119.7961075269,112.2515053763,116.4510537634,1636.8486021505,10,10,15565,0
