btc_obv_1,btc_sma5_1,btc_bias6_1,btc_psy12_1,btc_asy5_1,btc_asy4_1,btc_asy3_1,btc_asy2_1,btc_asy1_1,btc_open_0,btc_high_5,btc_low_5,btc_close_5,btc_vol_5,hrate_30,class_y0
47787.21406113,91.216,89.315,75,3.7252132429,1.8476996038,2.7560318951,3.3049900852,4.2925957035,95.5,89.99,78.75,89.3,6073.07958286,48.6800898836,1
54327.91932883,94.296,93.4633333333,75,3.1819525999,4.1967650673,5.0429815849,6.4057801438,8.5189645842,103.73,97,80,88.52,9823.47335779,50.5169960007,1
60768.95833152,99.792,97.9133333333,75,5.4072335185,6.3445130194,7.6868892035,9.3840359536,10.249107323,116,94,84,90,6658.41693742,51.344503061,1
75772.90683512,108.548,105.4566666667,83.3333333333,7.9277397872,9.3303286173,11.0095729218,12.2548770907,14.2606468584,133.87,95,89.31,92.11,1799.52075455,52.1821416001,1
83038.17983624,117.126,112.9566666667,91.6666666667,7.6458252688,8.4841326601,8.4725220187,7.5842293666,0.9078118748,134.67,96.15,92.12,96.15,2003.81769842,52.5875440026,1
90602.45755783,126.256,121.2383333333,91.6666666667,7.7701628413,7.5829624055,6.6942474331,2.9110477204,4.914283566,141.8,106.5,93.7,104.7,6540.7052677,53.0561524992,0
87098.1836042,133.516,128.7133333333,83.3333333333,5.95321545,4.8792424818,1.7521076896,2.174255597,-0.565772372,141,116,100.1,116,6441.03900269,54.0728828775,1
93835.39605105,143.31,138.7583333333,83.3333333333,7.0434689616,5.2391744874,6.682962025,7.5673012545,15.700374881,164.97,158.41,110,133.78,15003.9485036,54.8751335596,1
107246.45928695,153.674,150.3583333333,83.3333333333,6.5479432132,7.9579760478,8.9725402085,13.7416964987,11.7830181164,185.6,150,119,135,7265.27300112,55.7849309552,1
118458.24807175,172.474,166.2283333333,91.6666666667,10.5689445023,11.9826097364,16.1654037725,16.3979182183,21.0128183202,228.94,200,127.09,141.8,7564.27772159,56.6108742818,0
97568.77728145,176.514,170.7283333333,83.3333333333,2.6635744227,3.4709111214,-0.6055767985,-6.799874256,-34.6125668322,162,150.03,138.5,141,3504.27395363,57.7791271256,0
60362.89235875,164.994,160.995,75,-10.5022316203,-17.0528832456,-26.6648503662,-50.5036847095,-66.3948025868,81.02,165.1,140.65,164.97,6737.21244685,58.3911373394,1
89458.80054525,153.98,155.8116666667,75,-8.1238555556,-13.1005739736,-24.4717047382,-19.4012736911,27.5922552045,109.9,198,162,185.6,13411.0632359,59.1451957027,0
72627.95740275,135.188,143.59,66.6666666667,-14.1145192553,-22.8963536492,-18.9909492549,4.710977411,-18.1703003824,90.44,235.29,164.34,229,11211.7887848,59.4847413962,0
66850.38407151,107.61,127.8416666667,58.3333333333,-18.4330887166,-14.3882191877,2.947308612,-9.3751646842,-0.580028986,91.79,259.34,70,162,20889.4707903,59.8881693538,0
47272.25535551,90.01,102.0083333333,50,-15.6706248406,-2.989580404,-13.1835256068,-10.6901382191,-20.8002474522,73.99,179,50,83.4,37205.8849227,60.1721676976,0
11565.66906161,86.948,86.3566666667,41.6666666667,-4.0563589974,-11.9685125479,-9.9012499363,-14.5618604115,-8.3234733709,67.85,112,45,109.9,29095.9081865,60.9821194938,1
42420.09318111,82.964,87.4533333333,41.6666666667,-3.9996687599,-0.4570108543,-0.4160048104,9.7761165104,27.8757063918,89.98,119,85,91.64,16830.8431425,62.0503901031,1
58947.55289781,86.496,87.3533333333,50,3.5245707519,4.5507206864,13.0010433993,23.6633017844,19.4508971769,109.3,99.99,81.94,91.11,5777.57333124,62.9360803317,1
84446.50494621,91.816,91.6983333333,50,5.123128094,11.6039719805,18.2464537643,13.4318274506,7.4127577242,118.11,99.8,60,74,19578.128716,62.673781775,1
91921.31919455,102.326,97.605,50,10.7314478757,15.4951781874,11.3683354526,7.3270545904,7.2413514567,126.55,82,49.8,68.09,35706.5862939,62.9641011276,0
74733.22842345,112.47,105.0733333333,41.6666666667,11.1339043795,6.9484538764,2.7809727763,0.4650803023,-6.3111908521,118.91,101.12,60,89.98,30854.4241195,64.0655413383,1
81408.77788168,119.222,114.3483333333,50,6.3719033338,3.102154873,1.6652872559,-1.1227448444,4.0657011633,123.73,111.23,78.92,109.3,16527.4597167,64.771271397,1
94800.64843918,124.82,122.2333333333,58.3333333333,4.5599816345,3.8467876121,2.7152663306,7.228494922,10.3912886807,137.3,140.2,100,117.71,25498.9520484,65.3440647887,1
116033.49878398,131.078,128.85,58.3333333333,4.7144466704,4.0827204739,7.5473575825,9.2881857921,8.1850829036,150,129.79,114.27,126.55,7474.81424834,66.3801518345,0
99467.40708938,134.148,132.8816666667,58.3333333333,2.2897019435,4.4399251424,4.5646664688,1.6513553628,-4.8823721779,141.9,129,101,118.81,17188.0907711,66.8851908566,0
88778.48600168,137.846,134.6733333333,58.3333333333,2.8928546861,2.5996430668,0.0024278621,-4.0888996586,-3.2954271392,137.3,125.01,116,123.74,6675.54945823,67.723514389,0
82092.41091404,138.858,136.3383333333,58.3333333333,0.8015644713,-1.595866581,-4.8561830758,-4.8430885248,-6.3907499104,128.8,138.87,121.12,137.29,13391.8705575,68.1128547395,1
87228.93641464,138.456,138.2616666667,66.6666666667,-0.2949754464,-2.4149900339,-1.5925293192,-0.7410804092,4.908589092,135.31,161,134.98,149,21232.8503448,68.708035255,1
97714.39854964,137.318,139.265,66.6666666667,-0.7787237975,0.2471882976,1.4280601099,5.33746512,5.766341148,143.32,170.28,123.2,141.9,16566.0916946,69.6762178236,0
89249.10136828,136.914,137.745,58.3333333333,-0.2867534394,0.4654149855,2.7508032842,1.6719103802,-2.4225203875,139.87,142.53,126.68,137.3,10688.9210877,70.195165095,0
68144.19923838,132.804,133.5533333333,50,-3.2426683245,-2.455647928,-4.9103936014,-10.248760976,-18.0750015646,116.75,148.61,125.76,128.8,6686.07508764,70.4074659404,0
