btc_obv_1,btc_sma5_1,btc_bias6_1,btc_psy12_1,btc_asy5_1,btc_asy4_1,btc_asy3_1,btc_asy2_1,btc_asy1_1,btc_open_0,sp500_close_30,class_y0
47787.21406113,91.216,89.315,75,3.7252132429,1.8476996038,2.7560318951,3.3049900852,4.2925957035,95.5,1553.7378494624,1
54327.91932883,94.296,93.4633333333,75,3.1819525999,4.1967650673,5.0429815849,6.4057801438,8.5189645842,103.73,1554.1916344086,1
60768.95833152,99.792,97.9133333333,75,5.4072335185,6.3445130194,7.6868892035,9.3840359536,10.249107323,116,1555.1088602151,1
75772.90683512,108.548,105.4566666667,83.3333333333,7.9277397872,9.3303286173,11.0095729218,12.2548770907,14.2606468584,133.87,1554.8906021505,1
83038.17983624,117.126,112.9566666667,91.6666666667,7.6458252688,8.4841326601,8.4725220187,7.5842293666,0.9078118748,134.67,1555.010516129,1
90602.45755783,126.256,121.2383333333,91.6666666667,7.7701628413,7.5829624055,6.6942474331,2.9110477204,4.914283566,141.8,1554.5444086022,0
87098.1836042,133.516,128.7133333333,83.3333333333,5.95321545,4.8792424818,1.7521076896,2.174255597,-0.565772372,141,1554.0632473118,1
93835.39605105,143.31,138.7583333333,83.3333333333,7.0434689616,5.2391744874,6.682962025,7.5673012545,15.700374881,164.97,1553.5750967742,1
107246.45928695,153.674,150.3583333333,83.3333333333,6.5479432132,7.9579760478,8.9725402085,13.7416964987,11.7830181164,185.6,1553.949311828,1
118458.24807175,172.474,166.2283333333,91.6666666667,10.5689445023,11.9826097364,16.1654037725,16.3979182183,21.0128183202,228.94,1554.5606236559,0
97568.77728145,176.514,170.7283333333,83.3333333333,2.6635744227,3.4709111214,-0.6055767985,-6.799874256,-34.6125668322,162,1556.4004301075,0
60362.89235875,164.994,160.995,75,-10.5022316203,-17.0528832456,-26.6648503662,-50.5036847095,-66.3948025868,81.02,1558.5052903226,1
89458.80054525,153.98,155.8116666667,75,-8.1238555556,-13.1005739736,-24.4717047382,-19.4012736911,27.5922552045,109.9,1560.1633763441,0
72627.95740275,135.188,143.59,66.6666666667,-14.1145192553,-22.8963536492,-18.9909492549,4.710977411,-18.1703003824,90.44,1561.7655483871,0
66850.38407151,107.61,127.8416666667,58.3333333333,-18.4330887166,-14.3882191877,2.947308612,-9.3751646842,-0.580028986,91.79,1563.3252473118,0
47272.25535551,90.01,102.0083333333,50,-15.6706248406,-2.989580404,-13.1835256068,-10.6901382191,-20.8002474522,73.99,1562.347483871,0
11565.66906161,86.948,86.3566666667,41.6666666667,-4.0563589974,-11.9685125479,-9.9012499363,-14.5618604115,-8.3234733709,67.85,1563.0279569893,1
42420.09318111,82.964,87.4533333333,41.6666666667,-3.9996687599,-0.4570108543,-0.4160048104,9.7761165104,27.8757063918,89.98,1562.2155913979,1
58947.55289781,86.496,87.3533333333,50,3.5245707519,4.5507206864,13.0010433993,23.6633017844,19.4508971769,109.3,1560.6306451613,1
84446.50494621,91.816,91.6983333333,50,5.123128094,11.6039719805,18.2464537643,13.4318274506,7.4127577242,118.11,1559.9344086022,1
91921.31919455,102.326,97.605,50,10.7314478757,15.4951781874,11.3683354526,7.3270545904,7.2413514567,126.55,1559.2413978495,0
74733.22842345,112.47,105.0733333333,41.6666666667,11.1339043795,6.9484538764,2.7809727763,0.4650803023,-6.3111908521,118.91,1558.5301075269,1
81408.77788168,119.222,114.3483333333,50,6.3719033338,3.102154873,1.6652872559,-1.1227448444,4.0657011633,123.73,1558.3768817204,1
94800.64843918,124.82,122.2333333333,58.3333333333,4.5599816345,3.8467876121,2.7152663306,7.228494922,10.3912886807,137.3,1559.3440860215,1
116033.49878398,131.078,128.85,58.3333333333,4.7144466704,4.0827204739,7.5473575825,9.2881857921,8.1850829036,150,1560.297311828,0
99467.40708938,134.148,132.8816666667,58.3333333333,2.2897019435,4.4399251424,4.5646664688,1.6513553628,-4.8823721779,141.9,1561.6924731183,0
88778.48600168,137.846,134.6733333333,58.3333333333,2.8928546861,2.5996430668,0.0024278621,-4.0888996586,-3.2954271392,137.3,1562.6962365591,0
82092.41091404,138.858,136.3383333333,58.3333333333,0.8015644713,-1.595866581,-4.8561830758,-4.8430885248,-6.3907499104,128.8,1563.6575268817,1
87228.93641464,138.456,138.2616666667,66.6666666667,-0.2949754464,-2.4149900339,-1.5925293192,-0.7410804092,4.908589092,135.31,1564.5892473118,1
97714.39854964,137.318,139.265,66.6666666667,-0.7787237975,0.2471882976,1.4280601099,5.33746512,5.766341148,143.32,1566.2494623656,0
89249.10136828,136.914,137.745,58.3333333333,-0.2867534394,0.4654149855,2.7508032842,1.6719103802,-2.4225203875,139.87,1568.1129032258,0
68144.19923838,132.804,133.5533333333,50,-3.2426683245,-2.455647928,-4.9103936014,-10.248760976,-18.0750015646,116.75,1568.9451612903,0
46419.06564038,128.406,128.4716666667,41.6666666667,-3.7441851714,-5.9073787372,-9.7986186989,-13.4866678547,-8.8983341447,107.02,1570.6994623656,0
19555.50119428,120.966,123.3516666667,41.6666666667,-6.431264648,-9.4806660971,-11.8333813336,-8.7125712181,-8.5268082914,98.08,1573.4424731183,1
35465.62927098,114.828,119.575,41.6666666667,-4.8198159249,-5.4191398092,-1.2005192241,2.6483882362,13.8235847639,112.89,1576.0564516129,1
44499.57104881,110.166,115.1183333333,41.6666666667,-3.6458592253,-0.0385736404,2.914679861,8.6354239372,3.4472631105,116.9,1578.5543010753,0
27248.01543441,109.358,110.59,33.3333333333,-0.7043349659,1.3441648288,4.6344892022,0.0399414214,-3.3673802678,112.67,1581.2403225807,0
12306.46279931,109.996,109.465,33.3333333333,0.5885762138,2.8674223401,-0.7846318011,-2.900579257,-2.4337782462,110.92,1584.2327956989,1
