btc_obv_1,btc_sma5_1,btc_bias6_1,btc_psy12_1,btc_asy5_1,btc_asy4_1,btc_asy3_1,btc_asy2_1,btc_asy1_1,btc_open_0,btc_low_7,btc_open_30,btc_low_30,btc_close_30,trfee_value_30,class_y0
60177.8468108599,98.906,98.78,58.3333333333,0.2329730066,0.0277092073,0.4120699621,0.5315160151,-0.412040179,99.32,93.31,95.6758494624,94.0238494624,96.0514408602,37.0078626364,1
80401.3553351599,99.638,99.5633333333,66.6666666667,0.7246882668,1.1872035978,1.5252121783,1.5502821629,3.5126045048,102.85,94.24,96.0466021505,94.4860430108,96.621655914,37.2381056968,1
91913.9100686599,100.996,100.51,75,1.3387603132,1.6301559274,1.6818505002,2.7287958398,1.9449871747,104.87,97.03,96.6175483871,95.0055913978,97.2838924731,37.9474729639,1
115839.62814766,103.432,102.5683333333,83.3333333333,2.3373317062,2.5528965805,3.5412088336,3.555510998,5.1660348213,111.52,96.68,97.2804731183,95.7601290323,98.2641075269,37.8641773658,0
103607.69643096,105.314,104.38,75,1.8036444251,2.3575655761,1.9725525999,1.9863353124,-1.1933641964,109.12,96.5,98.3312688172,96.6889462366,99.1064086022,37.94175975,0
94138.0201342999,106.984,105.7033333333,66.6666666667,1.6147930552,1.1403401928,0.8721245321,-1.2748306124,-1.3562970285,107.91,97.48,99.1714623656,97.3180215054,99.8062580645,37.8783544533,1
98470.7071142099,108.244,107.345,66.6666666667,1.1890293379,1.0000398787,-0.3886251021,0.013744445,1.3837859186,109.15,98.41,99.8857634409,98.0647956989,100.5615268817,37.3612731757,1
107813.86984829,109.894,109.0566666667,66.6666666667,1.514554286,0.6016841522,1.2000336018,2.4781989169,3.5726119152,113.12,99,100.6381505376,98.9314408602,101.5320860215,37.0315033692,0
96971.0664240899,110.188,110.2283333333,58.3333333333,0.2644755852,0.6289355306,1.2906797169,1.2441266161,-1.084358683,111.85,100.38,101.6056989247,99.8260645161,102.3741075269,36.472496765,1
115895.80603629,111.914,111.4483333333,66.6666666667,1.522310776,2.2419627272,2.5280216634,2.0057265374,5.0958117579,117.74,104.56,102.4415268817,100.7684946237,103.5424946237,37.5007641119,1
126091.53723069,113.966,112.9133333333,66.6666666667,1.8207279556,1.9299634648,1.3824139813,2.6158003135,0.1357888692,117.91,107.98,103.6064086022,102.0002580645,104.6673548387,50.8197539312,1
135880.87608426,115.836,114.7216666667,66.6666666667,1.6437975516,1.1615939607,1.9102448419,0.3174613839,0.4991338987,118.91,104.2,104.7284516129,103.1724516129,105.7775483871,50.8501660546,1
153255.23407536,118.184,117.34,75,1.9748781497,2.7396873579,1.9543125579,2.8635744023,5.2280149058,124.86,106.64,105.8624086022,104.359483871,107.2509032258,50.7791839762,1
173236.57771766,121.404,119.82,75,2.688492972,2.0866632756,2.7369547444,3.8558651672,2.4837154286,127.9,109.15,107.3330752688,105.9330967742,108.8696774194,50.0062481022,1
181258.14095349,123.986,122.9466666667,75,2.0806959303,2.5669226956,3.2561856279,2.270270989,2.0568265493,130.65,110.27,108.9416129032,107.5713333333,110.5925806452,48.7756630612,0
172318.74115025,126.434,125.0133333333,66.6666666667,1.975320197,2.3443667716,1.3831507269,0.832868376,-0.3910897972,129.4,111.76,110.6603225806,109.2485806452,112.2077204301,48.9688601623,0
160324.16453055,128.57,126.8916666667,66.6666666667,1.7258764006,0.8503417743,0.3058838895,-0.5695874404,-0.7480850836,129.2,117.04,112.223483871,110.753483871,113.6858709677,48.094658021,0
141503.11440215,128.16,127.61,66.6666666667,-0.3310932802,-1.0347954574,-2.0653361263,-2.9024592909,-5.0568334982,121.65,117,113.7009247312,111.43,114.682516129,46.8168412446,0
122266.28210625,127.06,127.2166666667,58.3333333333,-0.8783846787,-1.6121874857,-2.0192200485,-2.654787531,-0.2527415638,122,118.04,114.620688172,112.120688172,115.6053978495,46.1515403327,0
102875.07385155,124.462,125.495,50,-2.0942886587,-2.5200883741,-3.1107561376,-2.1377174573,-4.0226933509,116.56,124.8,115.5119139785,112.7150322581,116.163311828,45.4357126684,1
112552.07134915,122.418,123.7066666667,58.3333333333,-1.6355878439,-1.857463534,-0.7910068793,-1.0601395371,1.9024142768,119.91,126.79,115.9999139785,113.2856989247,116.8227741935,44.3521227905,0
107093.38545819,120.25,121.7383333333,50,-1.7528988671,-0.9269152093,-1.1516397579,0.2838870386,-1.3346401995,118.37,128.52,116.662172043,113.836172043,117.3244731183,43.0006773903,1
128439.11179479,120.024,120.4883333333,50,-0.1848759534,-0.1679095508,1.1170183825,0.7243204354,2.7832810702,121.68,127,117.1699139785,114.2662150538,117.9855913979,42.2107928186,1
139759.00154289,119.938,120.365,50,-0.0703275861,0.9177638551,0.5895470479,1.5516406717,0.3200002731,122.08,115.21,117.8360430108,115.0212903226,118.6112903226,41.2662660886,1
158309.21540329,121.914,121.2066666667,50,1.6124869622,1.5400051336,2.4982202446,2.3556898318,4.3913793906,127.54,116.07,118.4673978495,115.5361935484,119.5303655914,40.0465372046,0
144453.00477019,123.204,122.6583333333,41.6666666667,1.047700042,1.6432851024,1.2632864465,1.7349295332,-0.9215203243,126.38,115.21,119.3906236559,116.3270322581,120.3047096774,38.9152993688,1
153762.95396639,125.078,123.955,41.6666666667,1.5240046252,1.2091855139,1.5055805942,0.062681196,1.0468827163,127.71,115.5,120.169827957,117.1816129032,121.1041505376,37.8879349573,0
145051.09013075,125.64,124.98,41.6666666667,0.4566148689,0.4907685178,-0.8094351065,-0.7533924976,-2.5536677114,124.49,116,120.9732688172,117.8469032258,121.634516129,36.6049025078,1
150411.97256055,126.298,125.5933333333,50,0.5318989473,-0.4329711635,-0.2701214433,-0.928623523,0.6964206654,125.36,115,121.5076344086,118.4522580645,122.1642150538,35.5581802032,1
158014.32041254,126.042,126.2933333333,58.3333333333,-0.2017194627,-0.0217692474,-0.3779865686,0.7098540028,0.7232873403,126.28,120.8,122.0413548387,119.0670752688,122.6943225806,34.9227226659,1
166866.93398436,126.15,126.1883333333,66.6666666667,0.0852745074,-0.1551275448,0.644385844,0.6183684334,0.5134495264,126.92,118,122.5761505376,119.7176989247,123.2092473118,38.2289422722,1
180362.64503796,126.008,126.2916666667,75,-0.111499641,0.4990423766,0.4332496137,0.2882307504,0.0630119744,127,123.1,123.0950967742,120.2281935484,123.6699354839,55.1201220529,0
170126.39689946,125.946,125.7033333333,66.6666666667,-0.0498653091,-0.2364368028,-0.5563448505,-1.0912420389,-2.2454960522,124.17,125.05,123.5598494624,120.6083655914,123.8967526882,59.0789517847,0
159621.31680636,125.456,125.44,66.6666666667,-0.3947443564,-0.6742522806,-1.0701528829,-1.6367353116,-1.027974571,122.92,123.05,123.7900860215,120.8198494624,124.0001075269,58.0295142464,1
163775.5088299,124.88,125.1116666667,66.6666666667,-0.4614480108,-0.7051723951,-0.9612338516,-0.3191027513,0.3897690684,123.38,123,123.898172043,121.0304731183,124.1075913979,56.3432190016,0
160893.41752757,124.15,124.6116666667,58.3333333333,-0.583597903,-0.7452503724,-0.2451684791,0.1462345668,-0.0972999347,123.27,124.03,124.0114193548,121.2535268817,124.1766451613,54.7643988374,0
153156.48356977,123.276,123.8966666667,50,-0.7003078937,-0.3140108541,-0.0760229484,-0.3089189568,-0.5205379789,122.81,125.47,124.0869032258,121.3852903226,124.1708172043,53.7753281896,1
163339.65070997,123.212,123.3733333333,58.3333333333,-0.0516046085,0.1924878821,0.1267274866,0.2387411973,0.9980203736,123.75,124.2,124.0996774194,121.4998494624,124.2153548387,52.4696683376,0
155286.46630905,123.28,123.2183333333,50,0.0552486539,-0.0283814497,-0.0054086214,0.2521560574,-0.4937082587,123.32,123.02,124.1437204301,121.6814623656,124.1974408602,51.102524645,1
163071.30951832,123.57,123.54,58.3333333333,0.2336569298,0.316396146,0.5953741876,0.3940510946,1.281810448,124.85,121.16,124.1371612903,121.8203655914,124.2576989247,49.5472605973,1
175188.63293432,124.306,124.1333333333,58.3333333333,0.5883247317,0.8655404094,0.8213804214,1.4789247614,1.6760390748,126.95,121.7,124.2046451613,122.0221935484,124.4388387097,51.5748576656,0
168868.37457,125.088,124.6783333333,50,0.6277354389,0.5351642052,0.8781216932,0.6762773158,-0.3234844432,126.5,122.35,124.3923225806,122.1863655914,124.5740860215,50.4054260139,1
175613.76907444,125.718,125.4083333333,50,0.5022785601,0.7512752648,0.5744302038,0.0236257683,0.3707359797,127,121.54,124.5315268817,122.4690107527,124.7223655914,48.7503430543,0
164083.24435564,126.318,125.8066666667,41.6666666667,0.4809851047,0.2807787688,-0.1843079998,-0.1147197782,-0.6001755361,126.25,121.77,124.6866666667,122.5208172043,124.8169892473,47.5488804034,1
171597.07931644,126.816,126.4866666667,50,0.3949844837,0.0747208359,0.2074559289,0.1258159035,0.851807343,127.31,123.23,124.7888172043,122.7556989247,124.9850537634,47.0078389013,0
110957.69032944,122.196,122.9883333333,50,-4.0169151566,-4.9402728349,-6.7106091065,-9.7658258917,-20.3834591263,103.85,123,124.9629032258,120.3777849462,123.6454408602,46.4030479594,1
137070.45420054,120.414,121.435,50,-1.4602871749,-1.9180429636,-2.3573321061,-3.9619018306,12.459655465,117.62,124.35,123.6306236559,119.1902365591,123.2514193548,46.1440644589,1
150265.03015484,119.4,120.6683333333,58.3333333333,-0.8147340607,-0.8683736919,-1.4417673702,8.0290785079,3.5985015507,121.94,124.01,123.2416774194,118.9906451613,123.1603010753,45.4238336317,0
147322.39414353,118.39,119.7,58.3333333333,-0.8164398904,-1.2335016988,5.1498174438,1.4948984331,-0.6087046844,121.25,126.08,123.156344086,119.0870322581,123.023311828,44.243567418,1
151248.73546243,117.422,119.0733333333,58.3333333333,-0.7750549517,4.1270460919,1.3495096342,0.225013676,1.0587320364,122.49,122.77,123.0258709677,119.1738709677,122.972344086,42.7742496125,1
163133.87006263,121.352,118.435,66.6666666667,3.4658721149,1.2174262774,0.4237345196,0.9399541216,0.8211762068,123.5,125.54,122.9770107527,119.182172043,122.976172043,42.0393340887,1
176317.24391153,122.652,121.815,66.6666666667,1.0757059711,0.4450070762,0.7962443298,0.6650004764,0.508824746,124.5,85,122.9805591398,119.3134623656,123.0129677419,40.2072885569,1
195251.00517463,123.444,123.1933333333,66.6666666667,0.6391764114,0.9511466854,0.9152849017,0.9623392491,1.4158537522,125.79,102,123.0409032258,119.4398709677,123.1515053763,38.9668230439,1
206633.15144413,124.564,124.0033333333,75,0.9033793674,0.8645412001,0.8789961978,1.0640819238,0.7123100953,126.8,116.48,123.1712903226,119.7183225806,123.3390322581,38.0339563219,1
214499.85635236,125.542,125.0333333333,75,0.7829070189,0.7733397219,0.8615113805,0.5843401946,0.456370294,127.38,121.11,123.358,120.0544086022,123.5538064516,37.0156817314,1
222071.1292156,126.438,125.9483333333,83.3333333333,0.7126569129,0.7636149546,0.546202022,0.4631479854,0.4699256768,127.58,121.13,123.5719784946,120.3786021505,123.807655914,36.2291523332,1
234645.2770254,128.176,127.5016666667,83.3333333333,1.3533084917,1.3376721766,1.5461262036,2.0910041585,3.7120826401,132.83,120.11,123.7992043011,120.7971827957,124.3703225806,35.3587913891,1
255901.5575973,130.08,129.3833333333,91.6666666667,1.4578623801,1.6442504514,2.0402105038,2.8253529173,1.9386231945,135.43,122.17,124.3625591398,121.4961505376,125.0897419355,34.065722978,1
278133.6367099,133.272,132.1933333333,91.6666666667,2.3710771324,2.849753842,3.643029897,3.6085035255,5.2783838564,142.75,122.3,125.0826451613,122.3107096774,126.2592043011,34.19266036,0
251800.7403932,135.308,133.9866666667,83.3333333333,1.5377088124,1.8046545963,1.1688452484,0.7839562753,-3.7104713058,137.54,124.9,126.2514623656,123.3136774194,127.0557634409,33.6240002653,1
268567.7928729,138.5,136.7466666667,91.6666666667,2.3504508874,2.0100429492,2.0338495341,0.4115823729,4.5336360516,143.94,125.93,127.0467526882,124.1343870968,128.239655914,33.211817815,1
291575.0238488,142.514,140.8983333333,91.6666666667,2.8144776092,3.0334412129,2.2851269984,5.2829261504,6.0322162493,152.89,126.01,128.2307311828,125.4655698925,129.9643655914,33.2997452696,1
329542.0064892,148.63,146.4283333333,91.6666666667,4.072134566,3.7705722434,6.2642534264,7.1295621138,8.2269079784,166,127.57,129.9555268817,127.3500215054,132.4792043011,33.3145832126,1
335209.35237081,153.396,151.6233333333,91.6666666667,3.087416106,4.7868879589,4.8713052614,4.2908497675,0.3547915565,166.6,132,132.4704516129,129.8228172043,134.942172043,32.9805291963,1
368317.07348101,161.91,157.8516666667,91.6666666667,5.3923725374,5.6070566589,5.4653367954,4.0845512039,7.8143108514,180.15,134.09,134.9341290323,132.4330752688,138.1847526882,33.2402950899,1
