btc_obv_1,btc_sma5_1,btc_bias6_1,btc_psy12_1,btc_asy5_1,btc_asy4_1,btc_asy3_1,btc_asy2_1,btc_asy1_1,btc_open_0,btc_low_5,ntran_value_30,trfee_value_2,hrate_2,hrate_7,class_y0
60177.8468108599,98.906,98.78,58.3333333333,0.2329730066,0.0277092073,0.4120699621,0.5315160151,-0.412040179,99.32,97.03,51098.2946236559,29.42751688,472.32378731,425.666227487,1
80401.3553351599,99.638,99.5633333333,66.6666666667,0.7246882668,1.1872035978,1.5252121783,1.5502821629,3.5126045048,102.85,96.68,52558.1483870968,44.92668611,497.58174385,484.95276558,1
91913.9100686599,100.996,100.51,75,1.3387603132,1.6301559274,1.6818505002,2.7287958398,1.9449871747,104.87,96.5,53720.6215053763,37.81465044,449.591626423,388.972530726,1
115839.62814766,103.432,102.5683333333,83.3333333333,2.3373317062,2.5528965805,3.5412088336,3.555510998,5.1660348213,111.52,97.48,54617.8365591398,45.78527809,457.169013385,421.807874228,0
103607.69643096,105.314,104.38,75,1.8036444251,2.3575655761,1.9725525999,1.9863353124,-1.1933641964,109.12,98.41,55417.247311828,34.14204628,520.313904737,434.436852499,0
94138.0201342999,106.984,105.7033333333,66.6666666667,1.6147930552,1.1403401928,0.8721245321,-1.2748306124,-1.3562970285,107.91,99,55986.0817204301,37.04061907,525.365496045,472.32378731,1
98470.7071142099,108.244,107.345,66.6666666667,1.1890293379,1.0000398787,-0.3886251021,0.013744445,1.3837859186,109.15,100.38,55938.7311827957,35.02624015,543.046065623,497.58174385,1
107813.86984829,109.894,109.0566666667,66.6666666667,1.514554286,0.6016841522,1.2000336018,2.4781989169,3.5726119152,113.12,104.56,55485.9806451613,28.06437009,607.932298581,449.591626423,0
96971.0664240899,110.188,110.2283333333,58.3333333333,0.2644755852,0.6289355306,1.2906797169,1.2441266161,-1.084358683,111.85,107.98,55569.4752688172,30.74091178,467.388810199,457.169013385,1
115895.80603629,111.914,111.4483333333,66.6666666667,1.522310776,2.2419627272,2.5280216634,2.0057265374,5.0958117579,117.74,104.2,56098.3440860215,27.45229801,532.757874563,520.313904737,1
126091.53723069,113.966,112.9133333333,66.6666666667,1.8207279556,1.9299634648,1.3824139813,2.6158003135,0.1357888692,117.91,106.64,56736.8150537634,51.94695338,562.173953526,525.365496045,1
135880.87608426,115.836,114.7216666667,66.6666666667,1.6437975516,1.1615939607,1.9102448419,0.3174613839,0.4991338987,118.91,109.15,57196.823655914,243.52033894,545.831687435,543.046065623,1
153255.23407536,118.184,117.34,75,1.9748781497,2.7396873579,1.9543125579,2.8635744023,5.2280149058,124.86,110.27,57558.3440860215,44.63568124,647.153737199,607.932298581,1
173236.57771766,121.404,119.82,75,2.688492972,2.0866632756,2.7369547444,3.8558651672,2.4837154286,127.9,111.76,57373.0107526882,43.30645342,634.079924326,467.388810199,1
181258.14095349,123.986,122.9466666667,75,2.0806959303,2.5669226956,3.2561856279,2.270270989,2.0568265493,130.65,117.04,56724.5376344086,32.35235089,702.717441908,532.757874563,0
172318.74115025,126.434,125.0133333333,66.6666666667,1.975320197,2.3443667716,1.3831507269,0.832868376,-0.3910897972,129.4,117,56407.1096774194,25.28747187,725.596614435,562.173953526,0
160324.16453055,128.57,126.8916666667,66.6666666667,1.7258764006,0.8503417743,0.3058838895,-0.5695874404,-0.7480850836,129.2,118.04,56089.7225806452,46.83183395,768.086506271,545.831687435,0
141503.11440215,128.16,127.61,66.6666666667,-0.3310932802,-1.0347954574,-2.0653361263,-2.9024592909,-5.0568334982,121.65,124.8,55800.4903225806,30.91428847,604.663845362,647.153737199,0
122266.28210625,127.06,127.2166666667,58.3333333333,-0.8783846787,-1.6121874857,-2.0192200485,-2.654787531,-0.2527415638,122,126.79,56090.4989247312,24.59734787,751.934693043,634.079924326,0
102875.07385155,124.462,125.495,50,-2.0942886587,-2.5200883741,-3.1107561376,-2.1377174573,-4.0226933509,116.56,128.52,56569.1913978495,34.00943099,704.398591759,702.717441908,1
112552.07134915,122.418,123.7066666667,58.3333333333,-1.6355878439,-1.857463534,-0.7910068793,-1.0601395371,1.9024142768,119.91,127,56442.2559139785,33.00862693,821.078113093,725.596614435,0
107093.38545819,120.25,121.7383333333,50,-1.7528988671,-0.9269152093,-1.1516397579,0.2838870386,-1.3346401995,118.37,115.21,55820.6430107527,27.40258306,704.398591759,768.086506271,1
128439.11179479,120.024,120.4883333333,50,-0.1848759534,-0.1679095508,1.1170183825,0.7243204354,2.7832810702,121.68,116.07,55761.7204301075,22.51021597,643.898099215,604.663845362,1
139759.00154289,119.938,120.365,50,-0.0703275861,0.9177638551,0.5895470479,1.5516406717,0.3200002731,122.08,115.21,55605.2150537635,30.43641891,834.042504353,751.934693043,1
158309.21540329,121.914,121.2066666667,50,1.6124869622,1.5400051336,2.4982202446,2.3556898318,4.3913793906,127.54,115.5,55161.264516129,28.07548626,803.792258081,704.398591759,0
144453.00477019,123.204,122.6583333333,41.6666666667,1.047700042,1.6432851024,1.2632864465,1.7349295332,-0.9215203243,126.38,116,54804.1935483871,23.61451906,868.614214378,821.078113093,1
153762.95396639,125.078,123.955,41.6666666667,1.5240046252,1.2091855139,1.5055805942,0.062681196,1.0468827163,127.71,115,54283.4709677419,24.96850657,898.86446065,704.398591759,0
145051.09013075,125.64,124.98,41.6666666667,0.4566148689,0.4907685178,-0.8094351065,-0.7533924976,-2.5536677114,124.49,120.8,53688.9247311828,26.42562521,907.507388156,643.898099215,1
150411.97256055,126.298,125.5933333333,50,0.5318989473,-0.4329711635,-0.2701214433,-0.928623523,0.6964206654,125.36,118,53095.2215053763,21.9094985,933.436170675,834.042504353,1
158014.32041254,126.042,126.2933333333,58.3333333333,-0.2017194627,-0.0217692474,-0.3779865686,0.7098540028,0.7232873403,126.28,123.1,52781.8344086022,24.16845305,1024.57958056,803.792258081,1
166866.93398436,126.15,126.1883333333,66.6666666667,0.0852745074,-0.1551275448,0.644385844,0.6183684334,0.5134495264,126.92,125.05,53513.311827957,29.82849822,946.196443251,868.614214378,1
180362.64503796,126.008,126.2916666667,75,-0.111499641,0.4990423766,0.4332496137,0.2882307504,0.0630119744,127,123.05,54093.3978494624,90.93785999,990.986807429,898.86446065,0
170126.39689946,125.946,125.7033333333,66.6666666667,-0.0498653091,-0.2364368028,-0.5563448505,-1.0912420389,-2.2454960522,124.17,123,54338.3978494624,303.03844849,845.418123852,907.507388156,0
159621.31680636,125.456,125.44,66.6666666667,-0.3947443564,-0.6742522806,-1.0701528829,-1.6367353116,-1.027974571,122.92,124.03,54598.6989247312,111.427816,1091.76512683,933.436170675,1
163775.5088299,124.88,125.1116666667,66.6666666667,-0.4614480108,-0.7051723951,-0.9612338516,-0.3191027513,0.3897690684,123.38,125.47,54500.5182795699,35.98775791,1080.56753578,1024.57958056,0
160893.41752757,124.15,124.6116666667,58.3333333333,-0.583597903,-0.7452503724,-0.2451684791,0.1462345668,-0.0972999347,123.27,124.2,54384.0279569892,26.17798718,1046.97476265,946.196443251,0
153156.48356977,123.276,123.8966666667,50,-0.7003078937,-0.3140108541,-0.0760229484,-0.3089189568,-0.5205379789,122.81,123.02,54773.5225806452,27.4817632,1153.35187757,990.986807429,1
163339.65070997,123.212,123.3733333333,58.3333333333,-0.0516046085,0.1924878821,0.1267274866,0.2387411973,0.9980203736,123.75,121.16,55354.6494623656,36.37139814,1237.33381041,845.418123852,0
155286.46630905,123.28,123.2183333333,50,0.0552486539,-0.0283814497,-0.0054086214,0.2521560574,-0.4937082587,123.32,121.7,55546.8322580645,31.74116641,1125.35789996,1091.76512683,1
163071.30951832,123.57,123.54,58.3333333333,0.2336569298,0.316396146,0.5953741876,0.3940510946,1.281810448,124.85,122.35,55478.2365591398,30.8215087,1583.13830535,1080.56753578,1
175188.63293432,124.306,124.1333333333,58.3333333333,0.5883247317,0.8655404094,0.8213804214,1.4789247614,1.6760390748,126.95,121.54,55176.8752688172,28.01795022,1265.03107577,1046.97476265,0
168868.37457,125.088,124.6783333333,50,0.6277354389,0.5351642052,0.8781216932,0.6762773158,-0.3234844432,126.5,121.77,54531.7419354839,82.75466408,1302.02028851,1153.35187757,1
175613.76907444,125.718,125.4083333333,50,0.5022785601,0.7512752648,0.5744302038,0.0236257683,0.3707359797,127,123.23,53734.5548387097,27.84186309,1265.03107577,1237.33381041,0
164083.24435564,126.318,125.8066666667,41.6666666667,0.4809851047,0.2807787688,-0.1843079998,-0.1147197782,-0.6001755361,126.25,123,52999.5935483871,19.75447388,1242.83754813,1125.35789996,1
171597.07931644,126.816,126.4866666667,50,0.3949844837,0.0747208359,0.2074559289,0.1258159035,0.851807343,127.31,124.35,53141.7720430108,26.00052268,1213.24617793,1583.13830535,0
110957.69032944,122.196,122.9883333333,50,-4.0169151566,-4.9402728349,-6.7106091065,-9.7658258917,-20.3834591263,103.85,124.01,53599.9032258065,36.02532288,1449.97713948,1265.03107577,1
